Cliente,Servicio,Equipo,Fecha,Tecnico,Tecnico2,Presupuesto,Estado,Observacion
QUIMFA,TERMINAR INSTALACIÓN Y CALIF DE SOFTWARE,SOFTWARE,2026-01-05,Fernando,,,REALIZADO,
FARMACO,PROBLEMAS CON LA CELDA HPLC LCC03,HPLC,2026-01-05,Adan,,,REALIZADO,
IRIBAS,INSTALACION DENSITOMETRO CON ING,DENSITOMETRO,2026-01-05,Carlos,,,REALIZADO,INSTALACION DENSITOMETRO CON ING
DSN,CALIF DE UN EQUIPO HPLC MODULAR OQ/PQ/IQ,HPLC,2026-01-05,Zulma,,,REALIZADO,CALIF DE UN EQUIPO HPLC MODULAR OQ/PQ/IQ
MSP&BS,INSTALACION 1 EQUIPOS RAYOS X EN FUERTE OLIMPO,RAYOS X,2026-01-05,Josías/Ing Dietrich,,,REALIZADO,INSTALACION 7 EQUIPOS RAYOS X (3 DÍAS X EQUIPO)
ANALITICA,GC,GC,2025-01-06,Adan,,,REALIZADO,
IRIBAS,INSTALACION DENSITOMETRO CON ING DE BRASIL,DENSITOMETRO,2026-01-06,Carlos,,,REALIZADO,INSTALACION DENSITOMETRO CON ING
MSP&BS,INSTALACION 1 EQUIPOS RAYOS X EN FUERTE OLIMPO,RAYOS X,2026-01-06,Josías/Ing Dietrich,,,REALIZADO,INSTALACION 7 EQUIPOS RAYOS X (3 DÍAS X EQUIPO)
QUIMFA,MP HPLC 20  VIVIANA SABATE,HPLC,2026-01-06,Fernando/Rossana,,,REALIZADO,
INTN,RELEVAMIENTO REPARACION CAMPANA EXTRACTORA,CAMPANA,2026-01-07,Jaime/José,,,REALIZADO,RELEVAMIENTO REPARACION CAMPANA EXTRACTORA
SCAVONE,CAMBIO DE TUBERIA UPLC 40 LIC OSVALDO CACERES,UPLC,2025-01-07,Adan,,,REALIZADO,CAMBIO DE TUBERIA UPLC 40 LIC OSVALDO CACERES
FARMACO,CALIF HPLC 3,HPLC,2026-01-07,Zulma,,,REALIZADO,CALIF HPLC 3
IRIBAS,INSTALACION DENSITOMETRO CON ING DE BRASIL,DENSITOMETRO,2026-01-07,Carlos,,,REALIZADO,INSTALACION DENSITOMETRO CON ING DE BRASIL
DSN,DIAGNOSTICO FALLA HPLC MODULAR OQ/PQ/IQ,HPLC,2026-01-08,Adan/Rosana,,,REALIZADO,DIAGNOSTICO FALLA HPLC MODULAR OQ/PQ/IQ
GUAYAKI,HPLC 2 VOL DE INYECCION,HPLC,2026-01-08,Adan/Rosana,,,REALIZADO,HPLC 2 PROBLEMAS DE LA CELDA
ANALITICA,CAMBIO DE LA ROSCA POR FUGA DE GAS DEL OXIDO NITROSO,AA,2026-01-09,Adán,,,REALIZADO,CAMBIO DE LA ROSCA POR FUGA DE GAS DEL OXIDO NITROSO
ANALITICA,CAMBIO DE ACEITE,LCMS,2026-01-09,Adán,,,REALIZADO,CAMBIO DE ACEITE
MSP&BS,VILLARRICA: ENTREGA E INSTALACION  DE EQUIPOS RAYOS X,RAYOS X,12 AL 16,Carlos / Josias,,,REALIZADO,VILLARRICA: ENTREGA E INSTALACION  DE EQUIPOS RAYOS X
MSP&BS,YHU: TERMINAR INSTALACION,RAYOS X,12 AL 16,Carlos / Josias,,,REALIZADO,YHU: TERMINAR INSTALACION
SCAVONE,MC: PANDAE4SP0001 VARIACION DE LA ABSORBANCIA DARIO BENITEZ,UV,2026-01-12,Junior,,,REALIZADO,MC: PANDAE4SP0001 VARIACION DE LA ABSORBANCIA DARIO BENITEZ
ANALITICA,TALLER: UPS DE METALES,UPS,2026-01-12,Junior,,,REALIZADO,TALLER: UPS DE METALES
CHDS,INSTALACION Y CALIF DE 2 HPLC NUEVOS SIN COMPUTADORA,HPLC,12 AL 15 ENERO,Zulma / Jaime,,,REALIZADO,INSTALACION Y CALIF DE 2 HPLC NUEVOS SIN COMPUTADORA
AKTRA,MANTENIMIENTO Y CALIF GC,GC,2026-01-12,Adan,,,REALIZADO,MANTENIMIENTO Y CALIF GC
AKTRA,MANTENIMIENTO Y CALIF GC,GC,2026-01-13,Adan/José,,,REALIZADO,MANTENIMIENTO Y CALIF GC
MSP&BS,YHU: TERMINAR INSTALACION,RAYOS X,2026-01-13,Carlos / Josias,,,REALIZADO,YHU: TERMINAR INSTALACION
CHDS,INSTALACION Y CALIF DE 2 HPLC NUEVOS SIN COMPUTADORA,HPLC,12 AL 15 ENERO,Zulma / Jaime,,,REALIZADO,INSTALACION Y CALIF DE 2 HPLC NUEVOS SIN COMPUTADORA
PROSALUD,"RELEVAMIENTO CCF, DEA Y CCM NÉSTOR OVELAR",VARIOS,2026-01-14,Fernando/José,,,REALIZADO,"RELEVAMIENTO CCF, DEA Y CCM NÉSTOR OVELAR"
PROSALUD,UHPLC HACE RUIDO AL ENCENDER,UHPLC,2026-01-14,FernandoJosé,,,REALIZADO,UHPLC HACE RUIDO AL ENCENDER
ANALITICA,TERMINAR VERIFICACION DEL LCMS,LCMS,2026-01-14,Adán,,,REALIZADO,TERMINAR VERIFICACION DEL LCMS
